logistic_region,origin_uuid,origin_name,origin_latitude,origin_longitude,Pedidos
ABC,63fd942b-fad7-4d31-a751-7c691dec3111,VENCEDOR ATACADISTA - RUA VIANAS 104,-23.707415,-46.527432,263
ABC,c42d78c2-0108-4dd4-8ff3-cce674b47548,IFOOD SUPER BY D'AVO,-23.7072,-46.53455,260
ABC,d67fc06b-8d17-4e20-9e57-6fe47fbe3015,JOANIN - LOJA 14 - SAO BERNARDO DO CAMPO,-23.66286,-46.606824,255
ABC,8ead6645-d651-455d-a58b-81efebaa3973,EXTRA FRESH - RUDGE RAMOS,-23.65523,-46.572024,253
ABC,e208766d-ef02-43d9-9093-591a252a9704,JOANIN - LOJA 22 - FUNDACAO,-23.607696,-46.571351,246
ABC,90f57d78-ddf9-4396-a982-b739a0f0c8ea,PAO DE ACUCAR - SANTO ANDRE,-23.648737,-46.532039,240
ABC,924bd775-39d5-4ef3-a41b-56579104b8bb,EXTRA FRESH - VILA GILDA,-23.672549,-46.540074,233
ABC,08d73b0d-880a-48ed-a8de-927b559d4a14,SAO JUDAS TADEU SUPERMERCADOS,-23.634633,-46.50196,233
ABC,30d785dc-1742-4128-9187-5b2ab412a144,OBA HORTIFRUTI - SAO BERNARDO DO CAMPO,-23.715357,-46.541652,233
ABC,1701bf81-94f3-4f82-9e35-a443a0f05d15,HORTIFRUTI SAUDE JARDIM LAVINIA,-23.72507,-46.569446,222
ABC,2cece095-26a9-4e3f-bf8c-b562d5c1f315,COOP - EMPORIO,-23.662677,-46.532905,220
ABC,3581fe33-6f0f-4118-8116-f963c7de4510,MINI EXTRA - LUIZ PEQUINI,-23.713702,-46.531796,207
ABC,ac5dc094-f122-4b56-a709-aca9e70c199e,MINI EXTRA RUA CARIJO,-23.690424,-46.521565,203
ABC,39497557-a546-4e2d-b5ae-3c304fb4aed2,COMPRE SUPER BEM,-23.708133,-46.503894,197
ABC,3d414fc5-2e4f-4a34-b38a-ae806fd449c7,IFOOD SUPER BY NAGUMO | S. ANDRE CENTRO,-23.668326,-46.519722,190
ABC,d3ef7836-ccd1-4088-8ad0-b9fe9ad47287,BARATEIRO - SAO BERNARDO,-23.705241,-46.550105,185
ABC,d3b5fc13-fb3a-4a09-a067-8bfb5ffef26b,BARATEIRO - SAO CAETANO,-23.620943,-46.563986,183
ABC,3cf21ff0-d2c2-40f0-b934-77ca56fda0ad,NATURAL DA TERRA SAO BERNARDO DO CAMPO,-23.68267,-46.557583,179
ABC,88239fa1-29b1-493b-9101-f043c02fe14d,EXTRA FRESH - SAO CAETANO,-23.642815,-46.560732,171
ABC,e45f841a-c6c3-480d-8028-9263f7340e84,MAX ATACADISTA SAO BERNARDO,-23.674165,-46.571498,170
